name,risk,lat,lon
New York,6.58643536072834E-09,40.7305991,-73.9865812
Los Angeles,5.75518104479823E-09,34.053717,-118.2427266
Chicago,5.59780665158392E-09,41.8755546,-87.6244212
San Francisco,2.87281683780556E-09,37.7792768,-122.4192704
Boston,1.70035998723172E-09,42.3604823,-71.0595678
Seattle,1.30555384864747E-09,47.6038321,-122.3300624
Houston,9.15462731181574E-10,29.7589382,-95.3676974
Dallas,5.07445143656897E-10,32.7761963,-96.7968994
Detroit,3.40377487715215E-10,42.3486635,-83.0567375
Miami,1.73118204133735E-16,25.7742658,-80.1936589
Portland,1.28927411096558E-16,45.5202471,-122.6741949
Las Vegas,1.14836799807108E-16,36.1662859,-115.149225
Orlando,1.02635802775755E-16,28.5421175,-81.3790462
Atlanta,1.00474431760515E-16,33.7490987,-84.3901849
Denver,8.63134379416444E-17,39.7391536,-104.9847034
Phoenix,8.15315691013869E-17,33.4467681,-112.0756724
Jackson,7.9509137923375E-17,32.2990384,-90.1847691
Columbus,7.63500369476001E-17,39.9622601,-83.0007065
Charlotte,7.56678931718695E-17,35.2270869,-80.8431268
Salt Lake City,6.75934125259037E-17,40.7670126,-111.8904308
San Diego,6.75016724020313E-17,32.7174209,-117.1627714
Rochester,6.07672709518875E-17,43.1854754,-77.61068605
Minneapolis,5.57975425162194E-17,44.9772995,-93.2654692
Austin,4.78447508189825E-17,30.2711286,-97.7436995
Philadelphia,4.74555313567675E-17,39.952335,-75.163789
Tampa,4.56464714146137E-17,27.9477595,-82.458444
Sacramento,4.435875453236E-17,38.5815719,-121.4943996
Jacksonville,4.419122968502E-17,30.3321838,-81.655651
Indianapolis,3.88940424557231E-17,39.7683331,-86.1583502
Raleigh,3.85584473639269E-17,35.7804015,-78.6390779
San Jose,3.73138307431312E-17,37.3438502,-121.8831349
Charleston,3.69136719321875E-17,32.7876012,-79.9402728
Pittsburgh,3.68370888752381E-17,40.4416941,-79.9900861
Cleveland,3.63863083449012E-17,41.5051613,-81.6934446
New Orleans,2.99675906853319E-17,29.9499323,-90.0701156
San Antonio,2.7471122508375E-17,29.4246002,-98.4951405
Kansas City,2.68190730119506E-17,39.0844687,-94.5630298
Albany,2.65191352576825E-17,42.6511674,-73.754968
Santa Ana,2.64783396626375E-17,33.7499595,-117.8732826
Springfield,2.470370221166E-17,39.7989763,-89.6443688
Grand Rapids,2.33344875048363E-17,42.9632405,-85.6678639
Buffalo,2.2837105660105E-17,42.8864468,-78.8783689
Milwaukee,2.26050179054169E-17,43.0349931,-87.922497
Omaha,2.24707617004375E-17,41.2587317,-95.9378732
Madison,2.09791720067625E-17,43.074761,-89.3837613
Richmond,2.07353874550588E-17,37.5385087,-77.43428
Syracuse,2.02710926529456E-17,43.0481221,-76.1474244
Newark,1.975930515171E-17,40.735657,-74.1723667
Palm Springs,1.77441664941488E-17,33.8345281,-116.5389475
Louisville,1.73952423159638E-17,38.2542376,-85.759407
Burlington,1.72942565606E-17,44.4723989,-73.2114941
El Paso,1.72681839257125E-17,31.8111305,-106.5013493
Des Moines,1.66313373359513E-17,41.5910641,-93.6037149
Albuquerque,1.65928189193925E-17,35.0841034,-106.6509851
Memphis,1.63356494156975E-17,35.1490215,-90.0516285
Savannah,1.48588243387731E-17,32.0835407,-81.0998342
Green Bay,1.42497993417588E-17,44.5299412,-88.0248317
Spokane,1.38068757373625E-17,47.6588603,-117.4247134
Bozeman,1.32393618001387E-17,45.6799842,-111.0446748
Cedar Rapids,1.31458371498363E-17,41.9758872,-91.6704053
Fresno,1.282599350741E-17,36.7394421,-119.7848307
Eugene,1.22146454636137E-17,44.0505054,-123.0950506
Burbank,1.19217890427594E-17,34.1816482,-118.3258554
Dayton,1.184838990263E-17,39.7589478,-84.1916069
Oklahoma City,1.17687838288163E-17,35.4729886,-97.5170536
Sarasota,1.15997683643425E-17,27.3364347,-82.5306527
Key West,1.07913553245175E-17,38.0573603,-78.4408438
Tulsa,1.0341549163285E-17,36.1556805,-95.9929113
Appleton,1.0051444460305E-17,44.2611337,-88.4067604
Eagle,9.08743524350625E-18,39.6161124,-106.7172844
Greensboro,9.0612127473875E-18,36.0726355,-79.7919754
